년,월,업종코드,업종명,매출액
2020,6,9906,종교시설 기부,4057000
2020,7,1101,양복점.한복점,98298090
2020,7,1104,아동.유아복,111818926
2020,7,1106,일반의류,1110367101
2020,7,1107,스포츠용품점,270806147
2020,7,1110,내의류,177553157
2020,7,1111,교복,15194200
2020,7,1112,의류관련(기타),15636600
2020,7,1201,커튼.카펫.수건,178728464
2020,7,1202,침구및수예품,371104621
2020,7,1301,세탁업,218834005
2020,7,1401,기타잡화,254535348
2020,7,1402,시계.귀금속,426235910
2020,7,1403,안경.광학제품,1179632282
2020,7,1404,구두.신발,74222340
2020,7,1405,가방.핸드백,22272210
2020,7,1407,가발,40803500
2020,7,1501,화장품,895254308
2020,7,1503,미용재료,74593230
2020,7,1601,이발소,17387000
2020,7,1602,미용실(두발전문),2473923458
2020,7,1701,피부.체형미관리,712866599
2020,7,2102,"축산물,정육점",2831078150
2020,7,2103,"수산물,건어물",927418116
2020,7,2104,"농산물,청과물",1791645475
2020,7,2105,기타식음료품,2294500011
2020,7,2201,건강보조식품,286713610
2020,7,2202,인삼전문점,99263980
2020,7,2203,한국인삼공사,67634627
2020,7,2301,일반음식점,19329639644
2020,7,2302,중식전문점,1590047593
2020,7,2303,일식전문점,1069232289
2020,7,2305,서양식전문점,918270042
2020,7,2307,패스트푸드점,1062635120
2020,7,2309,치킨전문점,1681810785
2020,7,2310,식음료(기타),338505081
2020,7,2401,기타음식점,472394202
2020,7,2402,뷔페.출장연회,66438220
2020,7,2501,제과.제빵,1878841998
2020,7,2502,커피전문점,2218625533
2020,7,2503,아이스크림전문점,122384809
2020,7,2601,일반주점,714286957
2020,7,2602,주류전문점,9086600
2020,7,2604,기타주점,1619400
2020,7,3101,가전제품,1813135205
2020,7,3102,정수기.비데,6306100
2020,7,3104,기타전자제품,109106256
2020,7,3201,컴퓨터및소프트웨어,177090959
2020,7,3202,통신기기,73968280
2020,7,3203,"철재,사무용가구",20058750
2020,7,3204,기타사무용기기,8993685
2020,7,3301,가구판매점,3645593978
2020,7,3302,기타가정.주방용품,477328912
2020,7,3303,조명기구.전기,102190331
2020,7,3402,"보일러,펌프,샷시",236692592
2020,7,3403,기타건축자재,392534067
